nyesel ga kesini🥺 @dedealfarijal37,nyesel ga kesini dedealfarijal,netral,Kawah Putih
ah keren bgtt🥺kmrn kesini pas ujan jd ga keliatan:(,ah keren bgttkmrn kesini pas ujan jd ga keliatan,positif,Kawah Putih
@asmarina.p sebagus ini gak rin aslinya?,asmarinap sebagus ini gak rin aslinya,positif,Kawah Putih
MasyaAllah bagus bangett,masyaallah bagus bangett,positif,Glamping Lakeside
aaaa udh bagus:(,aaaa udh bagus,positif,Kawah Putih
"dulu banget kesitu th 2012 masih b aja,😔 sekarang SDH lebih bagus?",dulu banget kesitu th masih b aja sekarang sdh lebih bagus,netral,Ranca Upas
@nannamanya @tigaempat @na musti kesini ga siiiii😭,nannamanya tigaempat na musti kesini ga siiiii,netral,Situ Patenggang
@v.083102 cantik bangetttt🥺,v cantik bangetttt,netral,Kawah Putih
"waktu aku kesanah cuaca nyh hujan jdi ga seindah ituh mu Poto""ajh g bisa.🥺",waktu aku kesanah cuaca nyh hujan jdi ga seindah ituh mu potoajh g bisa,positif,Ranca Upas
@hanifahnrlll_ ini juga bagusss,hanifahnrlll_ ini juga bagusss,positif,Ranca Upas
@nriskiis mau kesini🥺,nriskiis mau kesini,netral,Ranca Upas
kesini 2015/2016 lupaaa... dulu blm sebaguss ini,kesini lupaaa dulu blm sebaguss ini,positif,Gunung Puntang
bagus bgtt,bagus bgtt,positif,Kawah Putih
@cuttegril12 @miaaaaantika pgn kesinii:(,cuttegril miaaaaantika pgn kesinii,netral,Ranca Upas
@kzaxzz_ @thisubatcah @callencheese mau kesini iiiii,kzaxzz_ thisubatcah callencheese mau kesini iiiii,netral,Glamping Lakeside
wowww Ciwidey JD sebagus ini masyaAllahhhh 🥰🥰🥰 dulu aja bagus apalagi skrg ya,wowww ciwidey jd sebagus ini masyaallahhhh dulu aja bagus apalagi skrg ya,positif,Kawah Putih
"terakhir kesini lg hujan angin, tiris na kacida. tp di kawahnya aneh malah ga ujan, ga ada angin. cm ttp ga ga bs coba apapun, krn kabut",terakhir kesini lg hujan angin tiris na kacida tp di kawahnya aneh malah ga ujan ga ada angin cm ttp ga ga bs coba apapun krn kabut,negatif,Gunung Puntang
@@28INGI😎 pgn kesini,ingi pgn kesini,netral,Glamping Lakeside
aaa makin bagus,aaa makin bagus,positif,Kawah Putih
"Fam kamu dah kesini, kamu yang belum ay nanti sama aku ya hihi @amendusssssssa",fam kamu dah kesini kamu yang belum ay nanti sama aku ya hihi amendusssssssa,netral,Situ Patenggang
Masya Allah indah,masya allah indah,positif,Situ Patenggang
untuk anak kecil udh boleh kesini blm ya,untuk anak kecil udh boleh kesini blm ya,netral,Gunung Puntang
kangen tempat ini dingin tpi bikin gosong jg 🥺🥺,kangen tempat ini dingin tpi bikin gosong jg,netral,Gunung Puntang
bagus😍,bagus,positif,Ranca Upas
Makin bagus ya sekarang,makin bagus ya sekarang,positif,Ranca Upas
@happielss427 pen kesinii..,happielss pen kesinii,netral,Kawah Putih
"dulu ga gitu skrg bagus ya,cuma g kuat bau belerangnya😂",dulu ga gitu skrg bagus yacuma g kuat bau belerangnya,negatif,Situ Patenggang
aslinya sekarang bgtu?? bagus ya sekarang gak kaya dulu,aslinya sekarang bgtu bagus ya sekarang gak kaya dulu,positif,Kawah Putih
"baru kamis kemaren kesini, emg bagus bgt tempatnya🥰",baru kamis kemaren kesini emg bagus bgt tempatnya,positif,Glamping Lakeside
@eckibrown ihh apa kesini aja besok byy😂,eckibrown ihh apa kesini aja besok byy,netral,Situ Patenggang
udah bagus banget yaa. dulu mah belom ada jembatan kaya gitu,udah bagus banget yaa dulu mah belom ada jembatan kaya gitu,positif,Gunung Puntang
"2018 aku kesini,, sekarang jadi lbh bagus ya",aku kesini sekarang jadi lbh bagus ya,positif,Ranca Upas
Tempat yg bakal jadi kenangan banget dan tempat terindah sepanjang pacaran😭😭😭,tempat yg bakal jadi kenangan banget dan tempat terindah sepanjang pacaran,positif,Glamping Lakeside
Tambah bagus skrng @taromeong,tambah bagus skrng taromeong,positif,Situ Patenggang
next kesini 😅 @mamin9488,next kesini mamin,netral,Ranca Upas
komentar,komentar_bersih,label_sentimen,Glamping Lakeside
Mau coba nih kamping di gunung puntang,mau coba nih kamping di gunung puntang,netral,Gunung Puntang
Mantap mba👍👍,mantap mba,positif,Ranca Upas
Nunggu yang di Turki wkwkw,nunggu yang di turki wkwkw,netral,Situ Patenggang
"Wow, semangat",wow semangat,positif,Glamping Lakeside
keren kali penjelasaannya juga jelas👌👌,keren kali penjelasaannya juga jelas,positif,Kawah Putih
Mantaap 🍃,mantaap,positif,Situ Patenggang
Keren lg d puncak mega nya,keren lg d puncak mega nya,positif,Gunung Puntang
Kerennnnnnnnnnnn,kerennnnnnnnnnnn,positif,Gunung Puntang
"Maaf ka, itu curug namanya curug cikahuripan bukan siliwangi, klo curug siliwangi tingginya 150m dan perjalanan kesana selama 4 jam lgi.. Maaf ya kab🙏🙏🙏",maaf ka itu curug namanya curug cikahuripan bukan siliwangi klo curug siliwangi tingginya m dan perjalanan kesana selama jam lgi maaf ya kab,netral,Ranca Upas
Boleh juga nih bareng temen2 kesini,boleh juga nih bareng temen kesini,netral,Kawah Putih
Pasukan Sawangan hadir.. ahuuy,pasukan sawangan hadir ahuuy,positif,Glamping Lakeside
"Loh kok enak 
Otewe bareng anak bini aah",loh kok enak otewe bareng anak bini aah,positif,Glamping Lakeside
Waahh serruuu nihh,waahh serruuu nihh,netral,Ranca Upas
"Kereeeen Bgt cuy, siap2 packing lahhh gw bikin mupeng",kereeeen bgt cuy siap packing lahhh gw bikin mupeng,netral,Glamping Lakeside
Sawangan selalu hadir buat suport kak dewi.. horeee,sawangan selalu hadir buat suport kak dewi horeee,netral,Ranca Upas
Juooosss 👍👍,juooosss,netral,Kawah Putih
MasyaAllah bagus pemandangannya.. Sulthan jadi mau kesanaaa..,masyaallah bagus pemandangannya sulthan jadi mau kesanaaa,positif,Situ Patenggang
"Keren ka,.smangat dan sehat slalu ya kak 🤩🥰",keren kasmangat dan sehat slalu ya kak,positif,Glamping Lakeside
Yang videoin kerennn👍👍👍,yang videoin kerennn,positif,Situ Patenggang
Semangat bestiee,semangat bestiee,positif,Glamping Lakeside
Kapan2 kudu kemarih nih... Hhh... Kerennz,kapan kudu kemarih nih hhh kerennz,positif,Glamping Lakeside
MB Dewi udah aku subscribe  sukses ya MB dewi,mb dewi udah aku subscribe sukses ya mb dewi,netral,Glamping Lakeside
Mantap lanjut kan,mantap lanjut kan,positif,Gunung Puntang
Emm syaahdu banget si ka..,emm syaahdu banget si ka,netral,Situ Patenggang
enak kyaknya jalan2 kesono samboil ngopi 😁😁,enak kyaknya jalan kesono samboil ngopi,positif,Gunung Puntang
"Mantapp..
Mksh kaka udh rekomendasiin tempat sebagus inih,
Next mau ksna jg ah bareng keluarga 😁",mantapp mksh kaka udh rekomendasiin tempat sebagus inih next mau ksna jg ah bareng keluarga,positif,Kawah Putih
Enk kayanyaa nii,enk kayanyaa nii,netral,Ranca Upas
Bukan suara jangkrik  itu,bukan suara jangkrik itu,netral,Gunung Puntang
"Bkan jangkrik ka, tp tongeret 🙏👍",bkan jangkrik ka tp tongeret,netral,Glamping Lakeside
Mantulll guysss tempatnya,mantulll guysss tempatnya,positif,Kawah Putih
Keren mau kesana juga,keren mau kesana juga,positif,Glamping Lakeside
Kerenn 🥰🥰 semangat teruss ngonten nya ka dewi ❤️,kerenn semangat teruss ngonten nya ka dewi,positif,Glamping Lakeside
Semangat ya kak dewi 🤪,semangat ya kak dewi,netral,Ranca Upas
Enak dinikmati videografi nya,enak dinikmati videografi nya,positif,Situ Patenggang
waaaaaw tempatnya asik banget jadi ingin kesana 😍😍😍😍😍😍,waaaaaw tempatnya asik banget jadi ingin kesana,positif,Kawah Putih
jossss ... semangat semoga uhuy,jossss semangat semoga uhuy,netral,Kawah Putih
Dulu kolam cinta sekarang jadi papan cinta. Itu udah merusak sejarah. Apalagi masuk ke situ harus bayar lagi. Gilaaaaaaa. Bisa aja orang mendirikan  Negara di suaru negara. Gua tantang yang pasang papan kolam. Datang ke rumah aing.,dulu kolam cinta sekarang jadi papan cinta itu udah merusak sejarah apalagi masuk ke situ harus bayar lagi gilaaaaaaa bisa aja orang mendirikan negara di suaru negara gua tantang yang pasang papan kolam datang ke rumah aing,negatif,Gunung Puntang
"Kmrn baru dari sana. Indah, n luar biasa. Luas.
Sayang, toilet umumnya kotor.",kmrn baru dari sana indah n luar biasa luas sayang toilet umumnya kotor,positif,Ranca Upas
"Sungguh sangat disayangkan bangunan kolosal nya dihancurkan, gak kebayang waktu itu bagaimana mengatur logistik dan transportasi material bahan bangunan dikirim ke lokasi...jadi inget bangunan piramid di Mesir.",sungguh sangat disayangkan bangunan kolosal nya dihancurkan gak kebayang waktu itu bagaimana mengatur logistik dan transportasi material bahan bangunan dikirim ke lokasijadi inget bangunan piramid di mesir,netral,Ranca Upas
Berapa sekarang tiket masuknya enak suasananya sejuk banget cocok untuk liburan,berapa sekarang tiket masuknya enak suasananya sejuk banget cocok untuk liburan,positif,Kawah Putih
Masya Allah sungguh indah sekali pemandangan nya,masya allah sungguh indah sekali pemandangan nya,positif,Glamping Lakeside
Paket liwetnya harga brp itukak,paket liwetnya harga brp itukak,netral,Glamping Lakeside
Mantap nih tempatnya masih ada macan ga ya 😄🙏👍,mantap nih tempatnya masih ada macan ga ya,positif,Gunung Puntang
Siippp semangat bang . Kereeeeen dehhh,siippp semangat bang kereeeeen dehhh,netral,Gunung Puntang
Mahal untuk.melihat ke asrian alam yg allah ciptakan atau menyaksikan sejarah.peninggaln sejarah kasundaan sangat d komersil kan d gunung puntang,mahal untukmelihat ke asrian alam yg allah ciptakan atau menyaksikan sejarahpeninggaln sejarah kasundaan sangat d komersil kan d gunung puntang,negatif,Gunung Puntang
gear nya ga receh keren,gear nya ga receh keren,positif,Gunung Puntang
keren tempatnya,keren tempatnya,positif,Kawah Putih
Amazing banget viewnya...top,amazing banget viewnyatop,positif,Ranca Upas
Berapa tiket masuknya,berapa tiket masuknya,netral,Ranca Upas
"Kak, untuk menuju ke tempat wisatanya dr pintu loket tiketnya ke atas, jalannya jauh ga? Apa bisa dng berjalan kaki atau harus pake kendaraan?",kak untuk menuju ke tempat wisatanya dr pintu loket tiketnya ke atas jalannya jauh ga apa bisa dng berjalan kaki atau harus pake kendaraan,netral,Gunung Puntang
😔 gak kerasa pernah nge camp disana sekitar taon 1989 lg smp,gak kerasa pernah nge camp disana sekitar taon lg smp,netral,Kawah Putih
"4 menit yg sangat menbagongkan,,, haha bermanfaat thx",menit yg sangat menbagongkan haha bermanfaat thx,netral,Glamping Lakeside
Kereeeennn,kereeeennn,netral,Ranca Upas
"Alus pisan,,,untuk pendakian gunung malabar buka gk ya bang kira2",alus pisanuntuk pendakian gunung malabar buka gk ya bang kira,netral,Gunung Puntang
Kalo mau camp bayar berapa min?,kalo mau camp bayar berapa min,netral,Kawah Putih
Tiket masuk brp,tiket masuk brp,netral,Glamping Lakeside
dingin tidak min disana..? Lalu apakah tersedia penginapan di dekat objek wisatanya..?. Terimakasih jika berkenan di jawab..,dingin tidak min disana lalu apakah tersedia penginapan di dekat objek wisatanya terimakasih jika berkenan di jawab,netral,Gunung Puntang
"Admin boleh gak saya ambil videonya sedikit buat ikutan lomba , saya mau ijin kalau gak boleh gak apa2",admin boleh gak saya ambil videonya sedikit buat ikutan lomba saya mau ijin kalau gak boleh gak apa,netral,Glamping Lakeside
"Sepanjang jalan menuju lokasi wisatanya hijau hijau seger kang, bisa camping disini juga ya kang?",sepanjang jalan menuju lokasi wisatanya hijau hijau seger kang bisa camping disini juga ya kang,netral,Glamping Lakeside
Terbaik👍💯,terbaik,netral,Situ Patenggang
Aduhaiii syahduuuu. Noted rekomendasi next time😍,aduhaiii syahduuuu noted rekomendasi next time,positif,Glamping Lakeside
"Alami banget tempatnya, jadi mau k sna",alami banget tempatnya jadi mau k sna,netral,Gunung Puntang
Kerennn pke bgt kak nice place,kerennn pke bgt kak nice place,positif,Ranca Upas
WISATA GUNUNG  tersyahdu,wisata gunung tersyahdu,positif,Kawah Putih
"wooow ,, Bandung Selatan ,, Puntang dan Malabar ,, super spesial ,,,,",wooow bandung selatan puntang dan malabar super spesial,netral,Ranca Upas
Selamat sore Kang👍 Pemandangan alam nya sungguh luarbiasa👍👍👍 👍👍👍🙏🙏🙏,selamat sore kang pemandangan alam nya sungguh luarbiasa,netral,Gunung Puntang
Wadah. Cantik dan indah tempat,wadah cantik dan indah tempat,positif,Kawah Putih
"L11
Masyaallah pemandangan pegunungan yang sangat cantik
Sukses selalu",l masyaallah pemandangan pegunungan yang sangat cantik sukses selalu,positif,Gunung Puntang
Gunung Puntang cocok jadi pilihan keluarga untuk liburan 👌👍👍,gunung puntang cocok jadi pilihan keluarga untuk liburan,positif,Gunung Puntang
keren banget kak,keren banget kak,positif,Gunung Puntang
Juara n gak ada obat ripiunya .. sangat jelas dan gurih .. chanel seperti ini harus disuport agar makin banyak orang tau .. sangat bermnfaat pisan .. pokokna mah semangat terus kang .. I love Bandung & Indonesia,juara n gak ada obat ripiunya sangat jelas dan gurih chanel seperti ini harus disuport agar makin banyak orang tau sangat bermnfaat pisan pokokna mah semangat terus kang i love bandung indonesia,positif,Ranca Upas
"keren banget wisata gunung Puntang
begitu alami dan indah banget...

 stasiun Radio Malabar..
juga gk kalah keren nya ..👍👍👍",keren banget wisata gunung puntang begitu alami dan indah banget stasiun radio malabar juga gk kalah keren nya,positif,Gunung Puntang
"Hidden gems banget ya ka,g kaya gini sih bikin betah",hidden gems banget ya kag kaya gini sih bikin betah,positif,Gunung Puntang
Mantap lur 👍,mantap lur,positif,Situ Patenggang
Beuhhh Nemu aja yg keren2 ni kak😍,beuhhh nemu aja yg keren ni kak,positif,Gunung Puntang
"beberapa tahun yg lalu pernah camping di gunung puntang, keindahan alamnya memang luar biasa.. terlepas malamnya lumayan mencekam he",beberapa tahun yg lalu pernah camping di gunung puntang keindahan alamnya memang luar biasa terlepas malamnya lumayan mencekam he,positif,Gunung Puntang
segernya lihat yang hijau hijau,segernya lihat yang hijau hijau,positif,Glamping Lakeside
"temaptnya bagus,makanannyakykya enak enak tuh",temaptnya bagusmakanannyakykya enak enak tuh,positif,Situ Patenggang
Indah sekali ya pemandangan nya,indah sekali ya pemandangan nya,positif,Kawah Putih
Mantap wisata gunung Puntang 👍👍,mantap wisata gunung puntang,positif,Gunung Puntang
Pemandangan yang sangat indah terimakasih informasinya sangat bermanfaat👍,pemandangan yang sangat indah terimakasih informasinya sangat bermanfaat,positif,Ranca Upas
"Koreksi informasi!!! Gunung Puntang berada di Cimaung, bukan Banjaran
Mohon maaf ngedit nya buru-buru, dikejar tayang😁",koreksi informasi gunung puntang berada di cimaung bukan banjaran mohon maaf ngedit nya buruburu dikejar tayang,netral,Gunung Puntang
Seandainya pemerintah merestorasi kembali arsitektur radio malabar ini ya. Sangat disayangkan sungguh sampai hancur.,seandainya pemerintah merestorasi kembali arsitektur radio malabar ini ya sangat disayangkan sungguh sampai hancur,netral,Gunung Puntang
"jangan campur campur mitos bang, saya orng situ, ga ada jejak prabu siliwangi, cuiiiih guoblok",jangan campur campur mitos bang saya orng situ ga ada jejak prabu siliwangi cuiiiih guoblok,netral,Glamping Lakeside
Kok gk direnov ya😢,kok gk direnov ya,negatif,Gunung Puntang
sungguh pengorbanan yang sangat  mahal,sungguh pengorbanan yang sangat mahal,negatif,Gunung Puntang
"Salah satu gunung dengan misteri, ada radio dibangun di lembah namun sinyalnya bisa sampai ke belanda, kira kira ada energi apa di sekitaran bangunan radio itu sehingga mampu memperkuat sinyal radio dengan radius yang sangat jauh",salah satu gunung dengan misteri ada radio dibangun di lembah namun sinyalnya bisa sampai ke belanda kira kira ada energi apa di sekitaran bangunan radio itu sehingga mampu memperkuat sinyal radio dengan radius yang sangat jauh,netral,Glamping Lakeside
"Kemarin baru kesini, rame bgt. Keren kang vidionya",kemarin baru kesini rame bgt keren kang vidionya,positif,Glamping Lakeside
"175 meter❌
175 cm ✅",meter cm,netral,Situ Patenggang
Ini stasiun radio telegrafis ya..bukan stasiun radio siaran seperti yg sekarang kita kenal. Intinya ini untuk Telkom saja. Telepon adalah produknya.,ini stasiun radio telegrafis yabukan stasiun radio siaran seperti yg sekarang kita kenal intinya ini untuk telkom saja telepon adalah produknya,netral,Glamping Lakeside
"Suaranya kecil kaga jelas, suaranya putus-putus 😮",suaranya kecil kaga jelas suaranya putusputus,netral,Ranca Upas
kocak sih terlalu banyak yang nagih kalau wisata alam di jabar tuh wkwkwk,kocak sih terlalu banyak yang nagih kalau wisata alam di jabar tuh wkwkwk,positif,Gunung Puntang
"Kesini gegara Prabu anak Aq ksh nama kucingny ""Puntang"" tnyt ada nama gunung.",kesini gegara prabu anak aq ksh nama kucingny puntang tnyt ada nama gunung,netral,Situ Patenggang
"suaranya mimin mirip tmn Aq dr Garut, namany Ade Kundrat Permana.",suaranya mimin mirip tmn aq dr garut namany ade kundrat permana,netral,Glamping Lakeside
yg ngancurin juga orang indonesia,yg ngancurin juga orang indonesia,netral,Ranca Upas
"Ticket masuknya sampe 2 kali, gmn klo camp.. ticket masuknya berapa kali bayar",ticket masuknya sampe 2 kali gmn klo camp ticket masuknya berapa kali bayar,negatif,Gunung Puntang
Menarik dan bagus terima kasih . Ada kaitan dengan prabu siliwangi? Dan namannya gunung puntang? Nagara Mandala Dipuntang (timbanganten) garut perlu di telusuri mendalam,menarik dan bagus terima kasih ada kaitan dengan prabu siliwangi dan namannya gunung puntang nagara mandala dipuntang timbanganten garut perlu di telusuri mendalam,positif,Gunung Puntang
Ah cerita bohong saya orang Puntang nih GK ada yg mistis😂,ah cerita bohong saya orang puntang nih gk ada yg mistis,negatif,Situ Patenggang
Angker angker.. Palalu Angker!!,angker angker palalu angker,negatif,Ranca Upas
Pgen duh ke gunung puntang ngcamp,pgen duh ke gunung puntang ngcamp,positif,Gunung Puntang
Negara blanda 100thn lalu... adalah negara Indonesia saat ini..terlihat dr bangunanya yg bgt maju...,negara blanda thn lalu adalah negara indonesia saat initerlihat dr bangunanya yg bgt maju,netral,Ranca Upas
"Keren bang dokumenternya , saya takjub dengan mega proyek tersebut , komunikasi wireless pertama di dunia .
Tapi saya juga penasaran dengan stasiun radio yg dibelanda untuk nerima sinyal dari gunung puntang . 
Hewan2 di hutan sana juga pada pergi kan gara2 ada pembangunan radio , terganggu juga dengan frekuensinya ?
Apa ini terinspirasi dari Wardenclyffe Tower milik Nikola Tesla ? Listrik bisa gratis sebenernya tapi dihancurkan juga tu tower.
Kalo kata Nikola Tesla : Pelajari energi frekuensi vibrasi jika mau tahu rahasia alam semesta bekerja .",keren bang dokumenternya saya takjub dengan mega proyek tersebut komunikasi wireless pertama di dunia tapi saya juga penasaran dengan stasiun radio yg dibelanda untuk nerima sinyal dari gunung puntang hewan di hutan sana juga pada pergi kan gara ada pembangunan radio terganggu juga dengan frekuensinya apa ini terinspirasi dari wardenclyffe tower milik nikola tesla listrik bisa gratis sebenernya tapi dihancurkan juga tu tower kalo kata nikola tesla pelajari energi frekuensi vibrasi jika mau tahu rahasia alam semesta bekerja,positif,Gunung Puntang
